# Sequence-ID	TFO start	TFO end	Duplex-ID	TTS start	TTS end	Score	Error-rate	Errors	Motif	Strand	Orientation	Guanine-rate
TCONS_00011596	0	25	chr1	101278441	101278466	22	0.12	t2t5t7	Y	+	P	0.64
TCONS_00011596	0	25	chr1	101436943	101436968	22	0.12	t1t3t5	Y	+	P	0.64
TCONS_00011596	0	25	chr1	101480891	101480916	22	0.12	t3t18t22	Y	-	P	0.64
TCONS_00011596	0	25	chr1	102932346	102932371	23	0.08	t19t23	Y	-	P	0.68
TCONS_00011596	0	25	chr1	102932351	102932376	22	0.12	t13t19t23	Y	-	P	0.64
TCONS_00011596	0	25	chr1	107382527	107382552	22	0.12	t1t5t11	Y	+	P	0.64
TCONS_00011596	0	25	chr1	107382563	107382588	22	0.12	t1t3t5	Y	+	P	0.64
TCONS_00011596	0	25	chr1	107387104	107387129	22	0.12	t2t19t23	Y	-	P	0.64
TCONS_00011596	0	25	chr1	107387109	107387134	22	0.12	t13t19t23	Y	-	P	0.64
TCONS_00011596	0	25	chr1	107708694	107708719	23	0.08	t19t23	Y	-	P	0.68
TCONS_00011596	0	25	chr1	108027964	108027989	22	0.12	t1t5t11	Y	+	P	0.64
TCONS_00011596	0	25	chr1	108027969	108027994	23	0.08	t1t5	Y	+	P	0.68
TCONS_00011596	0	25	chr1	108125169	108125194	22	0.12	t1t14t16	Y	-	P	0.6
TCONS_00011596	0	25	chr1	108306841	108306866	22	0.12	t1t5t7	Y	+	P	0.64
TCONS_00011596	0	25	chr1	109546246	109546271	22	0.12	t6t12t19	Y	-	P	0.64
TCONS_00011596	0	25	chr1	11000153	11000178	22	0.12	t13t19t23	Y	-	P	0.64
TCONS_00011596	0	25	chr1	115161206	115161231	22	0.12	t4t9t18	Y	-	P	0.64
TCONS_00011596	0	25	chr1	115161216	115161241	23	0.08	t9t18	Y	-	P	0.68
TCONS_00011596	0	25	chr1	116166101	116166126	23	0.08	t17t19	Y	-	P	0.68
TCONS_00011596	0	25	chr1	117266516	117266541	22	0.12	t1d6t11	Y	+	P	0.64
TCONS_00011596	0	25	chr1	118054275	118054300	23	0.08	t19t23	Y	-	P	0.68
TCONS_00011596	0	25	chr1	118054280	118054305	22	0.12	t13t19t23	Y	-	P	0.64
TCONS_00011596	0	25	chr1	118054285	118054310	22	0.12	t8t13t19	Y	-	P	0.64
TCONS_00011596	0	25	chr1	118054310	118054335	23	0.08	t19t23	Y	-	P	0.68
TCONS_00011596	0	25	chr1	118362296	118362321	23	0.08	t8t18	Y	+	P	0.64
TCONS_00011596	0	25	chr1	122419514	122419539	23	0.08	t2t6	Y	+	P	0.68
TCONS_00011596	0	25	chr1	122486870	122486895	22	0.12	t3t6t23	Y	+	P	0.64
TCONS_00011596	0	25	chr1	122486890	122486915	22	0.12	t3t6t13	Y	+	P	0.64
TCONS_00011596	0	25	chr1	123831771	123831796	22	0.12	t9t17t19	Y	-	P	0.64
TCONS_00011596	0	25	chr1	123908787	123908812	24	0.04	t19	Y	-	P	0.72
TCONS_00011596	0	25	chr1	123908812	123908837	22	0.12	t13t18t23	Y	-	P	0.64
TCONS_00011596	0	25	chr1	124231960	124231985	22	0.12	d11t19t23	Y	-	P	0.64
TCONS_00011596	0	25	chr1	124548090	124548115	22	0.12	t1t5d8	Y	+	P	0.64
TCONS_00011596	0	25	chr1	125433346	125433371	22	0.12	d19t21t23	Y	-	P	0.64
TCONS_00011596	0	25	chr1	125433372	125433397	23	0.08	t2t18	Y	-	P	0.68
TCONS_00011596	0	25	chr1	12679299	12679324	22	0.12	t2t11t19	Y	-	P	0.64
TCONS_00011596	0	25	chr1	12749470	12749495	24	0.04	t5	Y	+	P	0.72
TCONS_00011596	0	25	chr1	12903156	12903181	22	0.12	t7t12t19	Y	-	P	0.64
TCONS_00011596	0	25	chr1	129129269	129129294	22	0.12	t2t19t22	Y	-	P	0.64
TCONS_00011596	0	25	chr1	12999856	12999881	24	0.04	t6	Y	+	P	0.72
TCONS_00011596	0	25	chr1	130210685	130210710	23	0.08	t19t23	Y	-	P	0.68
TCONS_00011596	0	25	chr1	130210715	130210740	22	0.12	d6t9t13	Y	-	P	0.6
TCONS_00011596	0	25	chr1	132681142	132681167	22	0.12	t6t12t22	Y	+	P	0.64
TCONS_00011596	0	25	chr1	134387591	134387616	23	0.08	t16t21	Y	+	P	0.64
TCONS_00011596	0	25	chr1	136546346	136546371	25	0		Y	-	P	0.72
TCONS_00011596	0	25	chr1	137756439	137756464	23	0.08	t14t19	Y	-	P	0.68
TCONS_00011596	0	25	chr1	139195686	139195711	24	0.04	t18	Y	-	P	0.72
TCONS_00011596	0	25	chr1	139937634	139937659	23	0.08	t13t23	Y	-	P	0.64
TCONS_00011596	0	25	chr1	142121852	142121877	22	0.12	t1t3t5	Y	+	P	0.64
TCONS_00011596	0	25	chr1	142196036	142196061	22	0.12	t19d21t23	Y	-	P	0.64
TCONS_00011596	0	25	chr1	143371240	143371265	23	0.08	t19t23	Y	-	P	0.68
TCONS_00011596	0	25	chr1	147949892	147949917	23	0.08	t1t5	Y	+	P	0.68
TCONS_00011596	0	25	chr1	15164040	15164065	23	0.08	t3t18	Y	-	P	0.68
TCONS_00011596	0	25	chr1	151956332	151956357	22	0.12	t1t5t21	Y	+	P	0.64
TCONS_00011596	0	25	chr1	152959828	152959853	24	0.04	t6	Y	+	P	0.72
TCONS_00011596	0	25	chr1	153427115	153427140	22	0.12	t6t15d17	Y	+	P	0.64
TCONS_00011596	0	25	chr1	154000237	154000262	22	0.12	t19t21d23	Y	-	P	0.64
TCONS_00011596	0	25	chr1	154563665	154563690	23	0.08	t5t7	Y	+	P	0.68
TCONS_00011596	0	25	chr1	154869316	154869341	22	0.12	t2t7t19	Y	-	P	0.64
TCONS_00011596	0	25	chr1	154950664	154950689	22	0.12	t16t18t22	Y	-	P	0.64
TCONS_00011596	0	25	chr1	15557298	15557323	22	0.12	t1t5t7	Y	+	P	0.64
TCONS_00011596	0	25	chr1	156036995	156037020	23	0.08	d7t18	Y	-	P	0.68
TCONS_00011596	0	25	chr1	156037029	156037054	22	0.12	t13t19t22	Y	-	P	0.64
TCONS_00011596	0	25	chr1	15635493	15635518	22	0.12	t1t5t21	Y	+	P	0.64
TCONS_00011596	0	25	chr1	158566463	158566488	22	0.12	t17t19t22	Y	-	P	0.64
TCONS_00011596	0	25	chr1	159493705	159493730	22	0.12	t19t21t23	Y	-	P	0.64
TCONS_00011596	0	25	chr1	159993734	159993759	23	0.08	t13t18	Y	-	P	0.68
TCONS_00011596	0	25	chr1	160739782	160739807	23	0.08	t6t8	Y	+	P	0.68
TCONS_00011596	0	25	chr1	162330478	162330503	24	0.04	t18	Y	-	P	0.72
TCONS_00011596	0	25	chr1	162600713	162600738	22	0.12	t1t5t11	Y	+	P	0.64
TCONS_00011596	0	25	chr1	163406200	163406225	22	0.12	t1t5t11	Y	+	P	0.64
TCONS_00011596	0	25	chr1	163406205	163406230	23	0.08	t1t5	Y	+	P	0.68
TCONS_00011596	0	25	chr1	163659503	163659528	22	0.12	t1t5t11	Y	+	P	0.64
TCONS_00011596	0	25	chr1	163659508	163659533	23	0.08	t1t5	Y	+	P	0.68
TCONS_00011596	0	25	chr1	164418874	164418899	23	0.08	t19t23	Y	-	P	0.68
TCONS_00011596	0	25	chr1	164418920	164418945	23	0.08	t19t23	Y	-	P	0.68
