# Sequence-ID	TFO start	TFO end	Duplex-ID	TTS start	TTS end	Score	Error-rate	Errors	Motif	Strand	Orientation	Guanine-rate
TCONS_00073523	2592	2607		962	977	14	0.067	t1	Y	+	P	0.73
TCONS_00073525	2592	2607		962	977	14	0.067	t1	Y	+	P	0.73
TCONS_00169456	140	155		962	977	14	0.067	t12	R	+	A	0.73
TCONS_00151055	695	710		986	1001	14	0.067	t5	M	+	P	0.87
TCONS_00151055	694	709		986	1001	14	0.067	t8	M	+	A	0.87
TCONS_00151055	697	712		986	1001	14	0.067	t5	M	+	A	0.87
TCONS_00140477	300	315		452	467	14	0.067	d3	R	-	A	0.53
TCONS_00190253	2783	2803		581	601	18	0.1	t5d8	Y	-	P	0.5
TCONS_00190254	2784	2804		581	601	18	0.1	t5d8	Y	-	P	0.5
TCONS_00190258	2783	2803		581	601	18	0.1	t5d8	Y	-	P	0.5
TCONS_00065788	1869	1884		547	562	14	0.067	d4	R	+	A	0.73
TCONS_00065789	1872	1887		547	562	14	0.067	d4	R	+	A	0.73
TCONS_00011642	1606	1621		219	234	14	0.067	d1	Y	+	P	0.6
TCONS_00068500	492	507		219	234	14	0.067	b1	Y	+	P	0.6
TCONS_00064084	265	280		133	148	14	0.067	d2	R	+	A	0.47
TCONS_00064084	274	289		133	148	14	0.067	d2	R	+	A	0.47
TCONS_00064084	298	313		133	148	14	0.067	d2	R	+	A	0.47
TCONS_00064084	678	693		133	148	14	0.067	d2	R	+	A	0.47
TCONS_00071317	1273	1288		150	165	14	0.067	t13	Y	+	P	0.47
TCONS_00039422	605	621		787	803	15	0.062	o6	Y	-	P	0.44
TCONS_00071317	162	177		787	802	14	0.067	o6	Y	-	P	0.47
TCONS_00071317	1260	1276		787	803	15	0.062	t7	Y	-	P	0.5
TCONS_00087985	2179	2194		790	805	14	0.067	d13	R	-	A	0.4
TCONS_00087985	2176	2192		787	803	15	0.062	t2	R	-	A	0.44
TCONS_00064084	467	482		802	817	14	0.067	d7	R	+	A	0.4
TCONS_00064084	546	561		802	817	14	0.067	d7	R	+	A	0.4
TCONS_00064084	518	534		802	818	15	0.062	d7	R	+	A	0.38
TCONS_00051592	1780	1800		828	848	18	0.1	t6d13	M	+	A	0.3
TCONS_00054058	1332	1347		828	843	14	0.067	d13	M	+	A	0.2
TCONS_00076444	3912	3927		828	843	14	0.067	d13	Y	+	P	0.2
TCONS_00092424	2563	2578		830	845	14	0.067	d11	Y	+	P	0.2
TCONS_00049122	968	983		962	977	14	0.067	t9	Y	+	P	0.33
TCONS_00064084	360	376		962	978	15	0.062	t13	R	+	A	0.38
TCONS_00064084	114	130		962	978	15	0.062	t1	R	+	A	0.38
TCONS_00064084	112	128		964	980	15	0.062	d14	R	+	A	0.38
TCONS_00064084	123	138		963	978	14	0.067	t3	R	+	A	0.4
TCONS_00140477	1673	1689		962	978	15	0.062	t9	R	+	A	0.38
TCONS_00140794	1566	1581		962	977	14	0.067	o1	M	+	A	0.33
TCONS_00011596	214	231		956	973	16	0.059	d11	Y	-	P	0.65
TCONS_00011600	212	229		956	973	16	0.059	d11	Y	-	P	0.65
TCONS_00011601	214	231		956	973	16	0.059	d11	Y	-	P	0.65
TCONS_00151055	694	709		189	204	14	0.067	d4	M	+	P	0.87
TCONS_00020546	255	271		42	58	15	0.062	o2	Y	-	P	0.25
TCONS_00054058	1375	1395		40	60	18	0.1	t7o14	M	-	P	0.25
TCONS_00064084	113	131		38	56	17	0.056	t13	R	-	A	0.39
TCONS_00064084	412	429		38	55	16	0.059	t12	R	-	A	0.41
TCONS_00064084	2278	2293		44	59	14	0.067	t13	M	-	A	0.27
TCONS_00140475	2326	2341		38	53	14	0.067	t6	Y	-	P	0.33
TCONS_00140475	1831	1846		45	60	14	0.067	t3	M	-	P	0.2
TCONS_00140475	1837	1852		45	60	14	0.067	t3	M	-	P	0.2
TCONS_00140475	1843	1858		45	60	14	0.067	t3	M	-	P	0.2
TCONS_00140475	1849	1864		45	60	14	0.067	t3	M	-	P	0.2
TCONS_00140475	1855	1870		45	60	14	0.067	t3	M	-	P	0.2
TCONS_00140475	1853	1868		45	60	14	0.067	t3	M	-	A	0.2
TCONS_00140475	1847	1862		45	60	14	0.067	t3	M	-	A	0.2
TCONS_00140475	1841	1856		45	60	14	0.067	t3	M	-	A	0.2
TCONS_00140475	1835	1850		45	60	14	0.067	t3	M	-	A	0.2
TCONS_00140475	1829	1844		45	60	14	0.067	t3	M	-	A	0.2
TCONS_00140475	2268	2283		45	60	14	0.067	t2	M	-	A	0.2
TCONS_00140475	2311	2326		45	60	14	0.067	o2	M	-	P	0.2
TCONS_00140477	623	638		45	60	14	0.067	t3	M	-	P	0.2
TCONS_00167746	1290	1305		38	53	14	0.067	t1	Y	-	P	0.33
TCONS_00169456	186	207		30	51	19	0.095	d7t15	R	-	A	0.52
TCONS_00201716	1453	1469		43	59	15	0.062	t9	M	-	A	0.25
TCONS_00064084	358	373		228	243	14	0.067	t9	R	-	A	0.47
TCONS_00071317	1266	1282		227	243	15	0.062	t13	Y	-	P	0.56
TCONS_00071317	1269	1284		225	240	14	0.067	t1	Y	-	P	0.6
TCONS_00087985	2171	2186		228	243	14	0.067	t7	R	-	A	0.47
TCONS_00052443	6421	6436		647	662	14	0.067	d1	M	-	A	0.47
TCONS_00039411	7045	7060		89	104	14	0.067	d8	Y	-	P	0.53
TCONS_00054058	50	65		298	313	14	0.067	b8	M	+	P	0.53
TCONS_00201401	569	585		5	21	15	0.062	d4	R	-	A	0.44
TCONS_00064084	334	349		157	172	14	0.067	t6	R	+	A	0.4
TCONS_00064084	353	369		158	174	15	0.062	t2	R	+	A	0.5
TCONS_00064084	308	324		158	174	15	0.062	t8	R	+	A	0.5
TCONS_00064084	284	300		158	174	15	0.062	t5	R	+	A	0.5
TCONS_00064084	723	738		157	172	14	0.067	t10	R	+	A	0.47
TCONS_00064084	702	717		157	172	14	0.067	t10	R	+	A	0.47
TCONS_00064084	668	684		157	173	15	0.062	t10	R	+	A	0.5
TCONS_00064084	618	633		157	172	14	0.067	t6	R	+	A	0.4
TCONS_00064084	780	795		158	173	14	0.067	t3	R	+	A	0.47
TCONS_00071317	1244	1260		157	173	15	0.062	t3	Y	+	P	0.44
TCONS_00076444	4002	4019		157	174	16	0.059	t3	Y	+	P	0.47
TCONS_00169456	191	206		159	174	14	0.067	t10	R	+	A	0.53
TCONS_00052443	6039	6054		234	249	14	0.067	t4	R	+	A	0.47
TCONS_00064084	263	279		227	243	15	0.062	d2	R	+	A	0.44
TCONS_00064084	260	276		230	246	15	0.062	t13	R	+	A	0.44
TCONS_00064084	272	288		227	243	15	0.062	d2	R	+	A	0.44
TCONS_00064084	269	285		230	246	15	0.062	t13	R	+	A	0.44
TCONS_00064084	211	227		231	247	15	0.062	t12	R	+	A	0.44
TCONS_00064084	179	194		228	243	14	0.067	d1	R	+	A	0.4
TCONS_00064084	175	192		230	247	16	0.059	t13	R	+	A	0.47
TCONS_00064084	101	116		228	243	14	0.067	d1	R	+	A	0.4
TCONS_00064084	715	731		227	243	15	0.062	d2	R	+	A	0.44
TCONS_00064084	751	766		228	243	14	0.067	d1	R	+	A	0.4
TCONS_00067824	1242	1259		233	250	16	0.059	t4	R	+	A	0.59
TCONS_00068500	1412	1427		234	249	14	0.067	o9	R	+	A	0.47
TCONS_00076444	635	650		235	250	14	0.067	t3	R	+	A	0.53
TCONS_00170397	147	162		232	247	14	0.067	o4	R	+	A	0.47
TCONS_00201401	560	580		230	250	18	0.1	t7t16	R	+	A	0.5
TCONS_00169456	186	202		532	548	15	0.062	d11	R	+	A	0.62
TCONS_00141346	1458	1474		966	982	15	0.062	d5	R	+	A	0.69
TCONS_00021426	230	246		837	853	15	0.062	t4	R	-	A	0.56
TCONS_00064084	720	735		837	852	14	0.067	t3	R	-	A	0.53
TCONS_00039408	4196	4211		380	395	14	0.067	o7	M	+	A	0.27
TCONS_00039410	4196	4211		380	395	14	0.067	o7	M	+	A	0.27
TCONS_00039411	130	145		380	395	14	0.067	o7	M	+	A	0.27
TCONS_00052443	2692	2707		382	397	14	0.067	t4	M	+	A	0.2
TCONS_00082787	1471	1486		379	394	14	0.067	t1	M	+	P	0.2
TCONS_00087985	3262	3277		382	397	14	0.067	t10	R	+	A	0.13
TCONS_00091949	1925	1940		382	397	14	0.067	o12	R	+	A	0.13
TCONS_00091950	1925	1940		382	397	14	0.067	o12	R	+	A	0.13
TCONS_00097687	1528	1543		379	394	14	0.067	t13	R	+	A	0.2
TCONS_00140475	2270	2285		379	394	14	0.067	t1	M	+	A	0.2
TCONS_00140475	2266	2283		381	398	16	0.059	t13	M	+	A	0.24
TCONS_00140794	424	440		382	398	15	0.062	t12	M	+	A	0.19
TCONS_00151055	1421	1436		382	397	14	0.067	t12	Y	+	P	0.13
TCONS_00151055	1550	1565		382	397	15	0		R	+	A	0.2
TCONS_00039408	5154	5169		853	868	14	0.067	t13	Y	+	P	0.53
TCONS_00039410	5154	5169		853	868	14	0.067	t13	Y	+	P	0.53
TCONS_00039411	1088	1103		853	868	14	0.067	t13	Y	+	P	0.53
TCONS_00039418	919	934		853	868	14	0.067	t13	Y	+	P	0.53
TCONS_00067824	1246	1262		853	869	15	0.062	t6	R	+	A	0.62
TCONS_00029122	226	241		867	882	14	0.067	d13	Y	-	P	0.73
TCONS_00065788	1872	1887		865	880	14	0.067	t4	R	-	A	0.8
TCONS_00065789	1875	1890		865	880	14	0.067	t4	R	-	A	0.8
TCONS_00067824	1251	1266		863	878	15	0		R	-	A	0.73
TCONS_00079871	378	393		862	877	14	0.067	t6	Y	-	P	0.73
TCONS_00052443	5966	5981		951	966	14	0.067	d4	R	-	A	0.8
TCONS_00167180	2438	2453		650	665	14	0.067	o2	R	+	A	0.53
TCONS_00039405	4003	4018		124	139	14	0.067	b3	Y	+	P	0.4
TCONS_00039411	5373	5388		124	139	14	0.067	b3	Y	+	P	0.4
TCONS_00071317	1241	1258		771	788	16	0.059	d6	Y	-	P	0.35
TCONS_00076444	4000	4016		771	787	15	0.062	d6	Y	-	P	0.38
TCONS_00167180	1041	1056		516	531	14	0.067	t6	M	-	A	0.47
TCONS_00151055	694	709		870	885	14	0.067	d4	M	+	P	0.87
TCONS_00108869	867	884		396	413	16	0.059	t11	M	-	A	0.41
TCONS_00051592	1787	1803		617	633	15	0.062	d7	M	-	A	0.38
TCONS_00064084	774	791		6	23	16	0.059	d5	R	+	A	0.41
TCONS_00021426	162	177		487	502	14	0.067	o9	R	+	A	0.2
TCONS_00051592	2634	2649		491	506	15	0		Y	+	P	0.13
TCONS_00052443	5708	5723		487	502	14	0.067	t1	M	+	P	0.13
TCONS_00052443	5710	5726		489	505	15	0.062	o13	M	+	P	0.12
TCONS_00052443	5708	5725		489	506	16	0.059	o1	M	+	A	0.12
TCONS_00054058	1332	1347		490	505	14	0.067	t1	M	+	A	0.13
TCONS_00064084	2280	2299		487	506	18	0.053	t2	M	+	P	0.16
TCONS_00064084	2292	2307		487	502	14	0.067	t11	M	+	A	0.13
TCONS_00064084	2283	2299		487	503	15	0.062	t1	M	+	A	0.12
TCONS_00067531	333	351		487	505	17	0.056	o11	M	+	P	0.11
TCONS_00067531	322	342		487	507	18	0.1	t12t16	M	+	A	0.15
TCONS_00072816	1486	1501		490	505	15	0		M	+	P	0.13
TCONS_00072816	1484	1500		489	505	15	0.062	o14	M	+	A	0.12
TCONS_00076444	3912	3927		490	505	14	0.067	t1	Y	+	P	0.13
TCONS_00076444	3914	3929		492	507	14	0.067	o13	Y	+	P	0.13
TCONS_00091949	1935	1950		491	506	15	0		R	+	A	0.13
TCONS_00091950	1935	1950		491	506	15	0		R	+	A	0.13
TCONS_00092424	2558	2578		487	507	18	0.1	t1t18	Y	+	P	0.1
TCONS_00140475	1854	1874		487	507	18	0.1	t11t13	M	+	P	0.1
TCONS_00167741	823	838		487	502	14	0.067	t7	Y	+	P	0.13
TCONS_00201401	591	606		492	507	14	0.067	t11	R	+	A	0.13
TCONS_00011596	339	354		530	545	14	0.067	t9	Y	-	P	0.6
TCONS_00011600	337	352		530	545	14	0.067	t9	Y	-	P	0.6
TCONS_00011601	339	354		530	545	14	0.067	t9	Y	-	P	0.6
TCONS_00052443	6064	6080		671	687	15	0.062	d3	R	-	A	0.38
TCONS_00021426	227	242		871	886	14	0.067	d2	R	-	A	0.47
TCONS_00011596	243	258		214	229	14	0.067	t7	Y	+	P	0.67
TCONS_00011600	241	256		214	229	14	0.067	t7	Y	+	P	0.67
TCONS_00011601	243	258		214	229	14	0.067	t7	Y	+	P	0.67
TCONS_00064084	195	214		215	234	18	0.053	t8	R	+	A	0.47
TCONS_00064084	159	178		215	234	18	0.053	t8	R	+	A	0.47
TCONS_00064084	406	426		215	235	18	0.1	t2t8	R	+	A	0.45
TCONS_00064084	118	133		218	233	14	0.067	t5	R	+	A	0.47
TCONS_00064084	236	252		219	235	15	0.062	t4	R	+	A	0.44
TCONS_00064084	107	124		218	235	16	0.059	t5	R	+	A	0.47
TCONS_00064084	2282	2297		200	215	14	0.067	d2	M	+	A	0.2
TCONS_00075522	107	124		219	236	16	0.059	o7	Y	+	P	0.53
TCONS_00076444	2018	2033		218	233	14	0.067	t10	Y	+	P	0.47
TCONS_00167180	1042	1057		205	220	14	0.067	t7	M	+	A	0.47
TCONS_00170397	1000	1015		208	223	14	0.067	o11	R	+	A	0.4
TCONS_00201716	1450	1466		220	236	15	0.062	t4	M	+	A	0.44
TCONS_00049112	160	180		75	95	18	0.1	d15o18	R	+	A	0.4
TCONS_00064084	405	420		74	89	14	0.067	t4	R	+	A	0.4
TCONS_00064084	268	283		74	89	14	0.067	t3	R	+	A	0.4
TCONS_00064084	228	250		74	96	20	0.091	t4d16	R	+	A	0.41
TCONS_00064084	225	245		79	99	18	0.1	d11o17	R	+	A	0.35
TCONS_00064084	220	235		74	89	14	0.067	o7	R	+	A	0.4
TCONS_00064084	106	121		74	89	14	0.067	t4	R	+	A	0.4
TCONS_00064084	398	413		84	99	14	0.067	d6	R	+	A	0.4
TCONS_00064084	150	165		84	99	14	0.067	d6	R	+	A	0.4
TCONS_00064084	294	309		84	99	14	0.067	d6	R	+	A	0.4
TCONS_00064084	485	500		74	89	14	0.067	t13	R	+	A	0.4
TCONS_00064084	478	499		78	99	19	0.095	t5d12	R	+	A	0.43
TCONS_00064084	717	738		74	95	19	0.095	t9d16	R	+	A	0.43
TCONS_00064084	702	717		74	89	14	0.067	t9	R	+	A	0.47
TCONS_00064084	669	684		74	89	14	0.067	t9	R	+	A	0.47
TCONS_00064084	639	654		74	89	14	0.067	o5	R	+	A	0.47
TCONS_00064084	626	642		74	90	15	0.062	t12	R	+	A	0.44
TCONS_00064084	593	608		78	93	14	0.067	d12	R	+	A	0.4
TCONS_00064084	594	609		74	89	14	0.067	t6	R	+	A	0.4
TCONS_00064084	564	579		74	89	14	0.067	t13	R	+	A	0.4
TCONS_00064084	516	531		74	89	14	0.067	t6	R	+	A	0.4
TCONS_00064084	698	713		75	90	14	0.067	o11	R	+	A	0.47
TCONS_00064084	557	578		78	99	19	0.095	t5d12	R	+	A	0.43
TCONS_00064084	518	533		75	90	14	0.067	t2	R	+	A	0.4
TCONS_00064084	515	530		78	93	14	0.067	d12	R	+	A	0.4
TCONS_00064084	632	647		84	99	14	0.067	d6	R	+	A	0.4
TCONS_00167741	822	838		761	777	15	0.062	d5	Y	+	P	0.12
TCONS_00020546	248	263		295	310	14	0.067	o8	Y	-	P	0.2
TCONS_00063124	99	114		296	311	14	0.067	o4	R	-	A	0.27
TCONS_00063256	4789	4804		296	311	14	0.067	o6	M	-	A	0.27
TCONS_00082787	1472	1487		296	311	14	0.067	t12	M	-	P	0.2
TCONS_00092424	2554	2569		295	310	14	0.067	t8	Y	-	P	0.2
TCONS_00140475	2264	2280		295	311	15	0.062	t14	M	-	P	0.19
TCONS_00140475	2268	2284		295	311	15	0.062	t13	M	-	A	0.19
TCONS_00140475	2264	2279		296	311	14	0.067	t13	M	-	A	0.2
TCONS_00140794	422	438		295	311	15	0.062	t14	M	-	P	0.19
TCONS_00140794	418	433		295	310	14	0.067	o12	M	-	P	0.27
TCONS_00140794	421	437		295	311	15	0.062	t14	M	-	A	0.19
TCONS_00052443	6043	6058		83	98	14	0.067	t2	R	-	A	0.33
TCONS_00052443	6065	6081		77	93	15	0.062	d5	R	-	A	0.31
TCONS_00064084	407	422		86	101	14	0.067	t6	R	-	A	0.33
TCONS_00064084	330	345		86	101	14	0.067	o3	R	-	A	0.33
TCONS_00064084	282	297		86	101	14	0.067	t3	R	-	A	0.33
TCONS_00064084	237	252		86	101	14	0.067	t6	R	-	A	0.33
TCONS_00064084	194	210		85	101	15	0.062	t7	R	-	A	0.31
TCONS_00064084	158	174		85	101	15	0.062	t7	R	-	A	0.31
TCONS_00064084	108	123		86	101	14	0.067	t6	R	-	A	0.33
TCONS_00064084	659	674		86	101	14	0.067	o3	R	-	A	0.33
TCONS_00064084	614	629		86	101	14	0.067	o3	R	-	A	0.33
TCONS_00064084	584	599		86	101	14	0.067	o3	R	-	A	0.33
TCONS_00064084	536	551		86	101	14	0.067	o3	R	-	A	0.33
TCONS_00064084	518	533		86	101	14	0.067	t8	R	-	A	0.33
TCONS_00065788	1858	1878		391	411	18	0.1	o11t15	R	+	A	0.65
TCONS_00065789	1861	1881		391	411	18	0.1	o11t15	R	+	A	0.65
TCONS_00068500	496	516		391	411	18	0.1	o14o18	Y	+	P	0.65
TCONS_00011596	209	229		310	330	18	0.1	d4d14	Y	-	P	0.65
TCONS_00011600	207	227		310	330	18	0.1	d4d14	Y	-	P	0.65
TCONS_00011601	209	229		310	330	18	0.1	d4d14	Y	-	P	0.65
TCONS_00064084	151	167		598	614	15	0.062	d9	R	-	A	0.44
TCONS_00064084	479	495		598	614	15	0.062	d9	R	-	A	0.44
TCONS_00064084	558	574		598	614	15	0.062	d9	R	-	A	0.44
TCONS_00064084	263	279		719	735	15	0.062	t5	R	-	A	0.5
TCONS_00064084	254	270		719	735	15	0.062	o5	R	-	A	0.5
TCONS_00064084	170	186		719	735	16	0		R	-	A	0.56
TCONS_00064084	206	222		719	735	16	0		R	-	A	0.56
TCONS_00064084	179	194		719	734	14	0.067	t5	R	-	A	0.47
TCONS_00064084	101	116		719	734	14	0.067	t5	R	-	A	0.47
TCONS_00064084	272	288		719	735	15	0.062	t5	R	-	A	0.5
TCONS_00064084	751	766		719	734	14	0.067	t5	R	-	A	0.47
TCONS_00064084	715	731		719	735	15	0.062	t5	R	-	A	0.5
TCONS_00201401	566	583		718	735	16	0.059	t14	R	-	A	0.53
TCONS_00201401	564	580		716	732	15	0.062	d1	R	-	A	0.56
TCONS_00011596	223	239		746	762	15	0.062	t10	Y	-	P	0.62
TCONS_00011600	221	237		746	762	15	0.062	t10	Y	-	P	0.62
TCONS_00011601	223	239		746	762	15	0.062	t10	Y	-	P	0.62
TCONS_00064084	349	364		750	765	14	0.067	t5	R	-	A	0.53
TCONS_00079871	376	394		742	760	17	0.056	t14	Y	-	P	0.67
TCONS_00151055	1432	1448		744	760	15	0.062	t13	M	-	P	0.56
TCONS_00170397	2192	2207		749	764	14	0.067	t7	R	-	A	0.53
TCONS_00011596	310	325		291	306	14	0.067	t3	Y	+	P	0.67
TCONS_00011596	278	293		296	311	14	0.067	d12	Y	+	P	0.67
TCONS_00011600	308	323		291	306	14	0.067	t3	Y	+	P	0.67
TCONS_00011600	276	291		296	311	14	0.067	d12	Y	+	P	0.67
TCONS_00011601	310	325		291	306	14	0.067	t3	Y	+	P	0.67
TCONS_00011601	278	293		296	311	14	0.067	d12	Y	+	P	0.67
TCONS_00052443	6098	6113		293	308	14	0.067	t12	R	+	A	0.73
TCONS_00065788	1872	1887		293	308	14	0.067	t7	R	+	A	0.8
TCONS_00065789	1875	1890		293	308	14	0.067	t7	R	+	A	0.8
TCONS_00064084	389	405		896	912	15	0.062	d8	R	+	A	0.5
TCONS_00051585	629	644		725	740	14	0.067	o7	R	-	A	0.47
TCONS_00087985	3261	3277		952	968	15	0.062	d5	R	-	A	0.12
TCONS_00151055	1234	1249		959	974	14	0.067	t12	R	-	A	0.33
TCONS_00151055	1549	1565		952	968	15	0.062	d5	R	-	A	0.12
TCONS_00052443	6428	6443		842	857	14	0.067	d12	M	+	A	0.33
TCONS_00071317	1247	1262		835	850	14	0.067	d4	Y	+	P	0.33
TCONS_00039410	2089	2104		145	160	14	0.067	d2	R	-	A	0.53
TCONS_00039411	2089	2104		145	160	14	0.067	d2	R	-	A	0.53
TCONS_00039413	2089	2104		145	160	14	0.067	d2	R	-	A	0.53
TCONS_00039418	2089	2104		145	160	14	0.067	d2	R	-	A	0.53
TCONS_00039419	3044	3059		145	160	14	0.067	d2	R	-	A	0.53
TCONS_00064084	475	490		604	619	14	0.067	d3	R	-	A	0.47
TCONS_00064084	554	569		604	619	14	0.067	d3	R	-	A	0.47
TCONS_00141346	1459	1474		35	50	14	0.067	d6	R	+	A	0.73
TCONS_00140475	298	313		726	741	14	0.067	t12	Y	+	P	0.6
TCONS_00140476	298	313		726	741	14	0.067	t12	Y	+	P	0.6
TCONS_00140477	298	313		726	741	14	0.067	t12	Y	+	P	0.6
TCONS_00151055	1433	1448		726	741	14	0.067	t3	M	+	P	0.6
TCONS_00021426	229	244		51	66	14	0.067	d6	R	+	A	0.4
