# Sequence-ID	TFO start	TFO end	Duplex-ID	TTS start	TTS end	Score	Error-rate	Errors	Motif	Strand	Orientation	Guanine-rate
TCONS_00011596	309	325		251	267	16	0		Y	-	P	0.69
TCONS_00011596	309	325		233	249	16	0		Y	-	P	0.69
TCONS_00011596	309	326		208	225	17	0		Y	-	P	0.65
TCONS_00011596	309	326		202	219	17	0		Y	-	P	0.65
TCONS_00011596	309	326		190	207	17	0		Y	-	P	0.65
TCONS_00011596	310	326		214	230	16	0		Y	-	P	0.62
TCONS_00011596	243	259		969	985	16	0		Y	-	P	0.75
TCONS_00011596	208	224		895	911	16	0		Y	-	P	0.75
TCONS_00011596	349	364		902	917	15	0		Y	-	P	0.67
TCONS_00011596	230	250		0	20	19	0.05	t9	Y	+	P	0.8
TCONS_00011596	235	255		0	20	19	0.05	t9	Y	+	P	0.8
TCONS_00011596	250	265		404	419	15	0		Y	+	P	0.67
TCONS_00011596	206	224		864	882	18	0		Y	-	P	0.72
TCONS_00011596	213	236		764	787	22	0.043	t9	Y	-	P	0.7
TCONS_00011596	227	251		764	788	23	0.042	t10	Y	-	P	0.75
TCONS_00011596	231	255		765	789	23	0.042	t9	Y	-	P	0.75
TCONS_00011596	236	262		768	794	25	0.038	t21	Y	-	P	0.73
TCONS_00011596	241	266		764	789	24	0.04	t3	Y	-	P	0.72
TCONS_00011596	251	271		774	794	19	0.05	t8	Y	-	P	0.65
TCONS_00011596	223	243		497	517	19	0.05	t13	Y	+	P	0.65
TCONS_00011596	229	245		548	564	16	0		Y	+	P	0.75
TCONS_00011596	234	250		548	564	16	0		Y	+	P	0.75
TCONS_00011596	239	255		548	564	16	0		Y	+	P	0.75
TCONS_00011596	344	359		526	541	15	0		Y	+	P	0.67
TCONS_00011596	244	259		982	997	15	0		Y	-	P	0.73
TCONS_00011596	247	262		686	701	15	0		Y	-	P	0.73
TCONS_00011600	307	323		251	267	16	0		Y	-	P	0.69
TCONS_00011600	307	323		233	249	16	0		Y	-	P	0.69
TCONS_00011600	307	324		208	225	17	0		Y	-	P	0.65
TCONS_00011600	307	324		202	219	17	0		Y	-	P	0.65
